
0,0,1.0,10.0,100.0 0.0 100.0 0.0,40.0 0.0 50.0 0.0,LEFT,285.0 310.0 255.0 0.0,91.0,,0,UP,,0,0.06000000000000005
1,1,1.0,40.0,100.0 0.0 0.0 100.0,115.0 0.0 0.0 40.0,UP,170.0 0.0 180.0 185.0,79.0,,1,UP,,1,0.08000000000000007
2,2,1.0,80.0,0.0 100.0 0.0 100.0,0.0 140.0 0.0 140.0,UP,0.0 160.0 200.0 160.0,66.0,,2,RIGHT,,2,0.06000000000000005
3,3,1.0,110.0,100.0 100.0 0.0 0.0,75.0 105.0 70.0 0.0,RIGHT,70.0 195.0 95.0 70.0,42.0,,3,RIGHT,,3,0.06000000000000005
4,4,1.0,140.0,100.0 100.0 0.0 0.0,105.0 65.0 0.0 0.0,RIGHT,175.0 65.0 0.0 5.0,42.0,,4,RIGHT,,4,-0.94
5,5,0.0,170.0,0.0 100.0 0.0 0.0,0.0 65.0 65.0 0.0,RIGHT,0.0 140.0 110.0 210.0,18.0,,5,UP,,5,0.06
6,6,0.0,200.0,0.0 100.0 0.0 0.0,0.0 100.0 70.0 0.0,RIGHT,0.0 215.0 155.0 105.0,18.0,,6,RIGHT,,6,0.06
7,7,0.0,230.0,0.0 100.0 0.0 0.0,70.0 145.0 0.0 0.0,RIGHT,140.0 35.0 0.0 70.0,46.0,,7,DOWN,,7,1.06
8,8,1.0,260.0,100.0 100.0 0.0 0.0,110.0 110.0 65.0 0.0,RIGHT,45.0 45.0 80.0 140.0,22.0,,8,LEFT,,8,-0.94
9,9,0.0,290.0,0.0 100.0 0.0 0.0,0.0 110.0 35.0 0.0,RIGHT,0.0 100.0 150.0 100.0,22.0,,9,DOWN,,9,-49.92
10,10,-50.0,330.0,0.0 0.0 0.0 0.0,0.0 0.0 45.0 0.0,DOWN,135.0 155.0 175.0 0.0,10.0,,10,DOWN,,10,-100.0
11,11,1.0,350.0,100.0 0.0 100.0 100.0,25.0 0.0 60.0 50.0,LEFT,150.0 90.0 175.0 165.0,91.0,,11,DOWN,,11,0.06000000000000005
12,12,1.0,380.0,0.0 100.0 100.0 0.0,0.0 45.0 110.0 0.0,DOWN,100.0 105.0 150.0 0.0,103.0,,12,UP,,12,0.06000000000000005
13,13,1.0,410.0,0.0 100.0 0.0 100.0,0.0 60.0 0.0 125.0,DOWN,100.0 115.0 0.0 170.0,85.0,,13,RIGHT,,13,0.06000000000000005
14,14,1.0,440.0,0.0 100.0 100.0 0.0,0.0 45.0 120.0 0.0,RIGHT,0.0 170.0 170.0 140.0,85.0,,14,DOWN,,14,0.1200000000000001
15,15,1.0,500.0,0.0 100.0 0.0 100.0,0.0 105.0 0.0 75.0,DOWN,55.0 210.0 0.0 80.0,85.0,,15,LEFT,,15,0.32000000000000006
16,16,1.0,660.0,100.0 100.0 0.0 0.0,30.0 15.0 0.0 0.0,RIGHT,150.0 115.0 0.0 170.0,69.0,,16,LEFT,,16,0.0
17,17,1.0,660.0,0.0 100.0 100.0 0.0,0.0 45.0 15.0 0.0,RIGHT,0.0 170.0 170.0 140.0,67.0,,17,UP,,17,0.06000000000000005
18,18,1.0,690.0,100.0 100.0 0.0 0.0,40.0 65.0 0.0 0.0,RIGHT,35.0 155.0 0.0 55.0,49.0,,18,RIGHT,,18,0.06000000000000005
19,19,1.0,720.0,0.0 100.0 100.0 0.0,0.0 65.0 100.0 0.0,RIGHT,0.0 190.0 125.0 25.0,79.0,,19,UP,,19,0.020000000000000018
20,20,1.0,730.0,0.0 100.0 100.0 0.0,0.0 45.0 105.0 0.0,RIGHT,0.0 170.0 140.0 50.0,61.0,,20,LEFT,,20,0.06000000000000005
21,21,1.0,760.0,100.0 100.0 0.0 0.0,45.0 60.0 0.0 0.0,RIGHT,135.0 155.0 0.0 195.0,43.0,,21,UP,,21,0.06000000000000005
22,22,1.0,790.0,0.0 100.0 0.0 100.0,0.0 60.0 0.0 0.0,UP,0.0 190.0 255.0 75.0,49.0,,22,UP,,22,0.1200000000000001
23,23,1.0,850.0,100.0 0.0 100.0 0.0,45.0 0.0 110.0 0.0,RIGHT,65.0 0.0 135.0 85.0,81.0,,23,RIGHT,,23,0.06000000000000005
24,24,1.0,880.0,100.0 100.0 0.0 100.0,35.0 25.0 0.0 0.0,UP,195.0 45.0 145.0 75.0,63.0,,24,RIGHT,,24,0.3999999999999999
25,25,1.0,1080.0,100.0 100.0 100.0 0.0,25.0 0.0 30.0 0.0,RIGHT,250.0 80.0 25.0 170.0,54.0,,25,DOWN,,25,0.0
26,26,1.0,1080.0,0.0 100.0 100.0 0.0,0.0 40.0 0.0 0.0,DOWN,105.0 45.0 100.0 0.0,60.0,,26,RIGHT,,26,-50.88
